age,edu_level,fav_animals,fav_place,gender,experience,industry,motivation,Cluster,Cluster_Description
45-54,Wyższe,Psy,W lesie,Mężczyzna,Powyżej 10 lat,Obsługa klienta,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
>=65,Wyższe,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,Automatyzacja,Pasja,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
35-44,Wyższe,Koty,W górach,Mężczyzna,Powyżej 10 lat,Pomoc Społeczna,Rozwój osobisty,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
35-44,Wyższe,Psy,Inne,Mężczyzna,Powyżej 10 lat,Automotive,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
45-54,Wyższe,Psy,,Kobieta,Powyżej 10 lat,Produkcja,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
45-54,Wyższe,Inne,Nad wodą,Mężczyzna,Powyżej 10 lat,Obsługa klienta,Rozwój osobisty,Cluster 4,"{'name': 'Kreatywni w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w e-commerce, motoryzacji czy obsłudze klienta. Ich główną motywacją jest pasja.'}"
35-44,Wyższe,Brak ulubionych,W lesie,Mężczyzna,Powyżej 10 lat,Produkcja,Pasja,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
18-24,Średnie,Psy,W górach,Mężczyzna,Powyżej 10 lat,Obsługa klienta,Nowa kariera,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
35-44,Wyższe,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,Bezrobotny,Polecenie znajomych,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
45-54,Wyższe,Koty,W lesie,Mężczyzna,Powyżej 10 lat,Hotelarstwo,Rozwój osobisty,Cluster 4,"{'name': 'Kreatywni w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w e-commerce, motoryzacji czy obsłudze klienta. Ich główną motywacją jest pasja.'}"
35-44,Wyższe,Inne,W górach,Mężczyzna,Powyżej 10 lat,Automatyzacja,Większe zarobki,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
55-64,Wyższe,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,E-commerce,Rozwój osobisty,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
35-44,Wyższe,Koty,W górach,Mężczyzna,Powyżej 10 lat,Energetyka zawodowa,Większe zarobki,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
35-44,Wyższe,Psy,W górach,Mężczyzna,Brak doświadczenia,Edukacja,Pasja,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
45-54,Wyższe,Psy,W lesie,Kobieta,Powyżej 10 lat,Nieruchomości,Nowa kariera,Cluster 2,"{'name': 'Karierowicze w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w administracji publicznej, nieruchomościach czy motoryzacji. Ich główną motywacją jest nowa kariera.'}"
35-44,Wyższe,Psy,Nad wodą,Kobieta,Powyżej 10 lat,Wellness,Rozwój osobisty,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
18-24,Średnie,Inne,W górach,Mężczyzna,Powyżej 10 lat,Opieka,Polecenie znajomych,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
45-54,Średnie,Koty,W lesie,Mężczyzna,Powyżej 10 lat,Usługi,Pasja,Cluster 4,"{'name': 'Kreatywni w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w e-commerce, motoryzacji czy obsłudze klienta. Ich główną motywacją jest pasja.'}"
25-34,Wyższe,Psy,,Mężczyzna,1-2,Bezpieczeństwo,Rozwój osobisty,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
45-54,Wyższe,Inne,W górach,Mężczyzna,Brak doświadczenia,Wellness,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
35-44,Średnie,Koty,W górach,Mężczyzna,3-5,Usługi,Rozwój osobisty,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
45-54,Wyższe,Psy,W lesie,Kobieta,Powyżej 10 lat,Kadry (HR),Większe zarobki,Cluster 1,"{'name': 'Młodzi profesjonaliści', 'description': 'W tym klastrze znajdują się głównie młodsze osoby w wieku 25-34 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w finansach, inżynierii czy e-commerce. Ich główną motywacją są większe zarobki.'}"
45-54,Wyższe,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,Automotive,Rozwój osobisty,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
25-34,Wyższe,Psy,W lesie,Mężczyzna,Powyżej 10 lat,Automotive,Rozwój osobisty,Cluster 1,"{'name': 'Młodzi profesjonaliści', 'description': 'W tym klastrze znajdują się głównie młodsze osoby w wieku 25-34 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w finansach, inżynierii czy e-commerce. Ich główną motywacją są większe zarobki.'}"
25-34,Wyższe,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,Logistyka,Rozwój osobisty,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
45-54,Wyższe,Koty,,Mężczyzna,6-10,Energetyka,Pasja,Cluster 4,"{'name': 'Kreatywni w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w e-commerce, motoryzacji czy obsłudze klienta. Ich główną motywacją jest pasja.'}"
35-44,Wyższe,Brak ulubionych,Nad wodą,Kobieta,Powyżej 10 lat,Gastronomia,Rozwój osobisty,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
35-44,Średnie,Psy,W lesie,Mężczyzna,Powyżej 10 lat,Energetyka,Polecenie znajomych,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
35-44,Wyższe,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,R&D,Większe zarobki,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
45-54,Wyższe,Inne,W górach,Mężczyzna,Powyżej 10 lat,Pomoc Społeczna,Większe zarobki,Cluster 1,"{'name': 'Młodzi profesjonaliści', 'description': 'W tym klastrze znajdują się głównie młodsze osoby w wieku 25-34 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w finansach, inżynierii czy e-commerce. Ich główną motywacją są większe zarobki.'}"
25-34,Wyższe,Koty,,Mężczyzna,Powyżej 10 lat,Gastronomia,Rozwój osobisty,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
25-34,Wyższe,Psy,Nad wodą,Kobieta,Powyżej 10 lat,Automatyka i robotyka,Pasja,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
25-34,Średnie,Psy,W górach,Mężczyzna,Powyżej 10 lat,Finanse,Pasja,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
55-64,Wyższe,Inne,,Mężczyzna,Powyżej 10 lat,Automatyzacja,Polecenie znajomych,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
55-64,Wyższe,Koty,Nad wodą,Mężczyzna,Powyżej 10 lat,Budowlana,Rozwój osobisty,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
35-44,Wyższe,Koty i Psy,W górach,Kobieta,Powyżej 10 lat,Ochrona środowiska,Większe zarobki,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
35-44,Wyższe,Psy,Nad wodą,Mężczyzna,3-5,Inżynieria,Pasja,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
25-34,Wyższe,Psy,W górach,Kobieta,Powyżej 10 lat,Finanse,Rozwój osobisty,Cluster 1,"{'name': 'Młodzi profesjonaliści', 'description': 'W tym klastrze znajdują się głównie młodsze osoby w wieku 25-34 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w finansach, inżynierii czy e-commerce. Ich główną motywacją są większe zarobki.'}"
45-54,Wyższe,Brak ulubionych,W lesie,Mężczyzna,Powyżej 10 lat,Energetyka zawodowa,Pasja,Cluster 4,"{'name': 'Kreatywni w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w e-commerce, motoryzacji czy obsłudze klienta. Ich główną motywacją jest pasja.'}"
18-24,Średnie,Koty,W górach,Kobieta,Powyżej 10 lat,IT,Pasja,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
25-34,Wyższe,Psy,W górach,Mężczyzna,Powyżej 10 lat,Automatyzacja,Większe zarobki,Cluster 1,"{'name': 'Młodzi profesjonaliści', 'description': 'W tym klastrze znajdują się głównie młodsze osoby w wieku 25-34 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w finansach, inżynierii czy e-commerce. Ich główną motywacją są większe zarobki.'}"
35-44,Wyższe,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,Chemia,Nowa kariera,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
25-34,Średnie,Koty,,Mężczyzna,Powyżej 10 lat,Motoryzacja,Polecenie znajomych,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
25-34,Wyższe,Psy,W górach,Kobieta,Powyżej 10 lat,E-commerce,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
35-44,Wyższe,Psy,W górach,Mężczyzna,Powyżej 10 lat,Poligrafia,Większe zarobki,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
45-54,Wyższe,Koty,W lesie,Kobieta,Powyżej 10 lat,Motoryzacja,Pasja,Cluster 4,"{'name': 'Kreatywni w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w e-commerce, motoryzacji czy obsłudze klienta. Ich główną motywacją jest pasja.'}"
35-44,Wyższe,Psy,W górach,Kobieta,Powyżej 10 lat,R&D,Rozwój osobisty,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
25-34,Średnie,Brak ulubionych,W górach,Kobieta,Powyżej 10 lat,Marketing,Pasja,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
45-54,Wyższe,Koty,W lesie,Mężczyzna,6-10,Motoryzacja,Większe zarobki,Cluster 4,"{'name': 'Kreatywni w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w e-commerce, motoryzacji czy obsłudze klienta. Ich główną motywacją jest pasja.'}"
35-44,Wyższe,Psy,W górach,Mężczyzna,Powyżej 10 lat,Inżynieria,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
35-44,Wyższe,Psy,Nad wodą,Kobieta,Powyżej 10 lat,Transport,Pasja,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
18-24,Średnie,Koty,W lesie,Mężczyzna,Powyżej 10 lat,Obsługa klienta,Polecenie znajomych,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
55-64,Wyższe,Psy,W lesie,Mężczyzna,1-2,Motoryzacja,Rozwój osobisty,Cluster 2,"{'name': 'Karierowicze w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w administracji publicznej, nieruchomościach czy motoryzacji. Ich główną motywacją jest nowa kariera.'}"
45-54,Wyższe,Psy,W górach,Mężczyzna,Powyżej 10 lat,IT,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
45-54,Wyższe,Psy,W górach,Mężczyzna,Powyżej 10 lat,Kadry (HR),Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
45-54,Wyższe,Psy,Nad wodą,Mężczyzna,3-5,Architektura,Nowa kariera,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
55-64,Wyższe,Brak ulubionych,W lesie,Kobieta,Powyżej 10 lat,Administracja publiczna,Nowa kariera,Cluster 2,"{'name': 'Karierowicze w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w administracji publicznej, nieruchomościach czy motoryzacji. Ich główną motywacją jest nowa kariera.'}"
35-44,Średnie,Inne,Nad wodą,Mężczyzna,Powyżej 10 lat,Inżynieria,Nowa kariera,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
35-44,Wyższe,Psy,W górach,Mężczyzna,Powyżej 10 lat,Poligrafia,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
35-44,Wyższe,Inne,W górach,Mężczyzna,Powyżej 10 lat,Motoryzacja,Większe zarobki,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
25-34,Wyższe,Inne,W lesie,Mężczyzna,Powyżej 10 lat,Ochrona środowiska,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
